time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
18.529935,1.481153,-0.495687,-0.179717
18.569947,1.131059,-0.459807,0.160840
18.599934,1.504847,-1.787966,0.172876
18.629964,0.626544,-0.928098,-0.061094
18.659965,0.762309,0.117120,0.540092
18.689975,0.693498,0.092630,0.017409
18.719990,0.321564,0.349106,-0.137799
18.760027,0.159055,0.112616,0.007585
18.790038,0.356696,0.204233,0.290258
18.820049,0.005916,0.022101,-0.263318
18.870057,0.045085,0.157691,0.023173
18.900081,0.082047,-0.043778,-0.112375
18.930092,0.011092,0.167172,0.020119
18.960103,-0.025524,0.315642,0.134483
18.990115,-0.043966,0.253851,-0.017690
19.030115,-0.130998,0.301282,0.062844
19.060114,-0.042745,0.235634,0.273358
19.100159,0.034086,0.122872,0.066118
19.130171,0.117377,-0.101450,-0.024071
19.170185,0.212700,0.048969,0.073467
19.200196,0.249262,0.011689,-0.060110
19.230207,0.282752,-0.002790,-0.008230
19.260214,0.307555,0.081294,-0.060882
19.300236,0.297770,0.473941,0.277097
19.320242,0.224959,0.272999,0.071243
19.360258,0.572378,-0.070101,-0.049548
19.390269,0.632483,-0.193066,-0.079401
19.420263,0.799983,0.031588,0.211014
19.470296,0.587860,0.075451,0.062696
19.500306,0.659884,-0.018243,0.004685
19.530324,0.774598,-0.258041,-0.038962
19.560336,0.593647,-0.244548,-0.214391
19.590347,0.397890,-0.246003,-0.393305
19.620360,0.561149,0.136725,0.163762
19.650371,0.462961,0.355856,-0.044990
19.700393,0.719366,-0.141655,-0.066651
19.730404,0.040888,0.915397,0.054193
19.770418,0.148662,0.349967,0.034293
19.800404,0.137783,-0.525262,-0.556160
19.830442,0.191066,0.234405,0.572435
19.860452,-0.421134,0.731543,0.576659
19.890463,-0.155416,0.027569,-0.181520
19.920460,0.390631,-0.286437,-0.401505
19.950464,-0.312960,0.725445,1.303004
19.990503,-0.145652,0.372507,0.428904
20.020516,-0.018177,-0.098934,0.334197
20.050527,-0.417726,0.326025,0.241625
20.100546,-0.495543,-0.349450,-0.393068
20.130525,-0.642222,-0.054187,0.351313
20.160569,-1.130129,0.173081,0.115672
20.190581,-0.999629,0.349320,-0.004277
20.230594,-0.788647,0.317735,0.249548
20.260608,-0.904869,-0.023528,-0.141864
20.300626,-1.142721,0.043168,0.028180
20.340639,-0.185537,-0.147303,0.092770
20.370651,-0.322142,-0.294482,-0.020708
20.390661,-0.628929,-0.279905,0.047264
20.440648,-0.828685,-0.016580,-0.011906
