time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
19.496599,1.078801,-0.232370,-0.374181
19.536613,0.757285,-0.346219,-0.493639
19.566619,0.844679,-0.393209,-0.105186
19.606633,0.446357,-0.245365,0.149119
19.636645,0.772113,-0.322389,0.411808
19.666636,0.950813,-0.255496,-0.223749
19.706660,0.700046,-0.423948,-0.590853
19.736659,0.125753,-0.243178,-0.383999
19.766675,0.332559,-0.369268,-0.016011
19.806701,0.889373,-0.348672,0.281719
19.836711,1.174190,-0.322652,0.272961
19.866720,1.479497,-0.372068,0.252198
19.896730,1.308656,-0.346865,0.223752
19.926740,0.842751,-0.051282,0.204215
19.966752,1.078594,-0.019211,0.202956
20.006765,0.655916,0.133802,0.246766
20.036769,0.077614,0.168585,0.160597
20.066779,0.642724,0.409137,0.228446
20.096787,1.052702,0.536442,0.118552
20.136795,0.045299,0.170836,0.000021
20.166792,0.410051,0.033887,0.004295
20.206832,2.144422,0.122863,0.170667
20.236841,0.204113,-0.099204,-0.288726
20.266852,0.239581,-0.128235,-0.119070
20.306861,2.034510,-0.099082,-0.139836
20.336848,1.743846,0.054291,-0.220287
20.376886,1.666004,0.206082,-0.127179
20.416900,1.177836,0.103641,-0.064772
20.436907,1.446043,0.114719,-0.006829
20.466916,1.744797,0.362626,0.125716
20.496926,2.058695,0.368128,0.285700
20.526936,2.026018,0.461869,0.139577
20.576951,2.289696,0.476808,0.223108
20.596959,2.300980,0.508382,0.254545
20.636971,1.849930,0.319798,0.242025
20.666981,1.798008,0.276336,0.136944
20.696968,1.102157,-0.000830,-0.020000
20.727000,0.930877,-0.112755,-0.077568
20.766986,0.524781,-0.135828,-0.660171
20.807028,0.558607,-0.635288,-0.836326
20.837009,0.622901,-0.757693,-0.759820
20.867048,1.290368,0.138189,0.441133
20.897057,1.046832,-0.203840,0.131445
20.937069,0.687475,-0.082982,-0.078365
20.967079,0.358017,0.240431,-0.346074
21.007061,0.661504,0.170671,-0.290647
21.037096,-0.060759,-0.202248,-0.541912
21.067091,0.717787,-0.001250,0.454903
21.117122,0.352086,0.077271,0.150721
21.137118,-0.145649,-0.131947,-0.065352
21.157141,-0.077323,-0.057346,-0.111748
21.197156,0.109410,-0.036536,-0.088814
21.227165,0.000724,-0.223822,-0.221080
21.267177,0.009357,-0.305345,-0.115169
21.307190,-0.119095,-0.275459,0.269136
21.337199,-0.690301,-0.328599,-0.067496
21.367167,-0.885431,-0.193101,-0.134342
21.407204,-1.299838,-0.185879,-0.036854
